comment_id,post_id,from_id,from_name,created_time,message,like_count
1_1,1,user_29,Utilisateur_86,2024-12-03 02:13:14,Courage à toutes les familles,100
1_2,1,user_96,Utilisateur_7,2024-12-03 01:57:14,Courage à toutes les familles,19
1_3,1,user_22,Utilisateur_63,2024-12-03 03:05:14,Attention aux fausses informations,59
2_1,2,user_85,Utilisateur_47,2024-12-06 08:51:14,On espère que tout va bien pour vous,71
2_2,2,user_34,Utilisateur_60,2024-12-06 09:22:14,On est tous avec vous !,68
2_3,2,user_28,Utilisateur_20,2024-12-06 08:29:14,Attention aux fausses informations,40
2_4,2,user_92,Utilisateur_95,2024-12-06 07:51:14,Des photos de la zone impactée ?,69
2_5,2,user_27,Utilisateur_28,2024-12-06 07:44:14,Merci pour votre soutien,27
2_6,2,user_3,Utilisateur_97,2024-12-06 09:27:14,Merci pour l'information,93
2_7,2,user_2,Utilisateur_48,2024-12-06 08:02:14,Des photos de la zone impactée ?,1
2_8,2,user_12,Utilisateur_62,2024-12-06 08:53:14,Où se trouve ce point d'eau ?,5
2_9,2,user_93,Utilisateur_66,2024-12-06 09:00:14,On espère que tout va bien pour vous,31
2_10,2,user_72,Utilisateur_67,2024-12-06 08:26:14,On espère que tout va bien pour vous,37
2_11,2,user_40,Utilisateur_35,2024-12-06 09:16:14,Courage à toutes les familles,13
2_12,2,user_48,Utilisateur_70,2024-12-06 07:53:14,Merci pour l'information,74
2_13,2,user_29,Utilisateur_21,2024-12-06 07:56:14,Des nouvelles sur la situation ?,41
2_14,2,user_35,Utilisateur_88,2024-12-06 09:07:14,Attention aux fausses informations,83
2_15,2,user_21,Utilisateur_19,2024-12-06 09:13:14,Merci pour votre soutien,51
2_16,2,user_32,Utilisateur_6,2024-12-06 07:51:14,On est tous avec vous !,13
2_17,2,user_26,Utilisateur_8,2024-12-06 09:17:14,Merci pour l'information,95
3_1,3,user_39,Utilisateur_73,2024-11-21 17:08:14,Merci pour votre soutien,63
3_2,3,user_92,Utilisateur_72,2024-11-21 18:09:14,On a besoin d'aide ici aussi !,6
3_3,3,user_81,Utilisateur_4,2024-11-21 18:14:14,Des nouvelles sur la situation ?,36
4_1,4,user_53,Utilisateur_75,2024-12-09 18:02:14,Des nouvelles sur la situation ?,54
4_2,4,user_64,Utilisateur_15,2024-12-09 18:27:14,On a besoin d'aide ici aussi !,4
4_3,4,user_100,Utilisateur_90,2024-12-09 18:33:14,Des nouvelles sur la situation ?,75
4_4,4,user_91,Utilisateur_25,2024-12-09 18:30:14,Attention aux fausses informations,97
4_5,4,user_46,Utilisateur_84,2024-12-09 18:29:14,Merci pour l'information,71
4_6,4,user_4,Utilisateur_19,2024-12-09 17:25:14,Des photos de la zone impactée ?,97
5_1,5,user_73,Utilisateur_43,2024-12-10 13:17:14,Des photos de la zone impactée ?,13
5_2,5,user_38,Utilisateur_9,2024-12-10 14:26:14,On est tous avec vous !,90
5_3,5,user_89,Utilisateur_77,2024-12-10 12:45:14,On a besoin d'aide ici aussi !,23
5_4,5,user_2,Utilisateur_47,2024-12-10 14:04:14,Merci pour votre soutien,80
5_5,5,user_18,Utilisateur_15,2024-12-10 13:19:14,On espère que tout va bien pour vous,32
5_6,5,user_99,Utilisateur_2,2024-12-10 13:21:14,Des photos de la zone impactée ?,88
5_7,5,user_47,Utilisateur_66,2024-12-10 13:33:14,On a besoin d'aide ici aussi !,34
5_8,5,user_99,Utilisateur_84,2024-12-10 13:12:14,Merci pour votre soutien,59
6_1,6,user_46,Utilisateur_6,2024-12-17 13:32:14,Attention aux fausses informations,50
6_2,6,user_35,Utilisateur_72,2024-12-17 13:30:14,Des photos de la zone impactée ?,86
6_3,6,user_57,Utilisateur_56,2024-12-17 13:49:14,On espère que tout va bien pour vous,14
6_4,6,user_16,Utilisateur_64,2024-12-17 14:02:14,On a besoin d'aide ici aussi !,20
6_5,6,user_74,Utilisateur_60,2024-12-17 15:06:14,Des photos de la zone impactée ?,98
6_6,6,user_26,Utilisateur_25,2024-12-17 13:35:14,Des nouvelles sur la situation ?,69
6_7,6,user_39,Utilisateur_31,2024-12-17 15:21:14,On espère que tout va bien pour vous,49
6_8,6,user_4,Utilisateur_28,2024-12-17 14:18:14,Où se trouve ce point d'eau ?,44
